sid	uid	class	text
264183816548131000	15140428	positive	Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. :)
263405084770173000	591166521	negative	Theo Walcott is still shit, watch Rafa and Johnny deal with him on Saturday.
262163168678248000	35266263	negative	its not that I'm a GSP fan, i just hate Nick Diaz. can't wait for february.
264249301910311000	18516728	negative	Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)
264105751826538000	147088367	positive	with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
264094586689954000	332474633	negative	Talking about ACT's && SAT's, deciding where I want to go to college, applying to colleges and everything about college stresses me out.
212392538055778000	274996324	objective	"Why is ""Happy Valentines Day"" trending? It's on the 14th of February not 12th of June smh.."
254941790757601000	557103111	negative	They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
264169034155696000	382403760	neutral	Im bringing the monster load of candy tomorrow, I just hope it doesn't get all squiched
263192091700654000	344222239	objective-OR-neutral	Apple software, retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://bit.ly/XQEhJU�Â� 
260200142420992000	332530284	objective	#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://bit.ly/WY4Vjy�Â�  #LiveWireAthletics
263304719471088000	564843841	objective	#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran, Oct 30, IRNA -- Secretary... http://bit.ly/XSTGtd�Â� 
263975113404342000	616166780	objective	Expect light-moderate rains over E. Visayas; Cebu, Bohol, Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)
257343699460174000	10115042	positive	One ticket left for the @49ers game tomorrow! Don't miss the rematch of the NFC Championship game against the NY Giants! Hit me up!
257239661976625000	64642600	objective-OR-neutral	Game 1 of the NLCS and a rematch of the NFC Championship game tomorrow. SF's gonna be cuuuuhraaaaaaaazeeeee
264041764460036000	198706982	positive	Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U, ACT NOW! #getafterit
264239636799431000	864992245	objective-OR-neutral	BLACK FRIDAY Huge Saving Aerial View of a City, Paris Las Vegas, the Las Vegas Strip, Las Vegas,... http://prlasvegas.outdoorkitchennarm.com/black-friday-huge-saving-aerial-view-of-a-city-paris-las-vegas-the-las-vegas-strip-las-vegas-nevada-usa-photographic-poster-print-by-panoramic-images-36x12/�Â� �â��¦
236665189502681000	551910244	objective	Mohamed Morsi, Egypt's Muslim Brotherhood president, instructed the Supreme Council of the Armed Forces Thursday... http://fb.me/1AIvanLJZ�Â� 
262384414623936000	17091853	neutral	C'mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers
249228128302551000	160639448	objective-OR-neutral	At the first Grammy Awards, held on 4 May 1959, Domenico Modugno beat out Frank Sinatra and Peggy Lee for the Record of the Year,with Volare
263970913270251000	15794878	positive	"Good morning Thursday. ""Life is fragile. We're not guaranteed a tomorrow so give it everything you've got."" - Tim Cook [Do it for Jobs!]"
264162997088436000	93655075	positive	#Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!! http://twitition.com/p9clo�Â� 
263800856321860000	49032667	negative	My teachers call themselves givng us candy....wasn't even the GOOD stuff. I might go to Walmart or CVS tomorrow/
264011728084410000	24144230	neutral	#Broncos Peyton Manning named AFC Offensive Player of the month. It's his 5th such honor, second to Tom Brady's 6, tied w/ TD.
264120483384009000	533302080	objective-OR-neutral	@TooZany is bringing out Kendrick Lamar the 6th of December!?! Get your tickets now!
264056733691961000	23939440	objective-OR-neutral	Andre's Wigan Warning - #COYS Official Site Wigan might currently occupy 15th place in the Premier League,... http://tmblr.co/ZiAjGyWOM57G�Â� 
264042275108188000	493383592	objective-OR-neutral	"When my professor passes out candy and says ""a very small amount of that may be from Valentines day, just so you know"""
263656013541028000	913170146	objective-OR-neutral	How are they going to act in new york with the subways out? They better clutch it out like Eli Manning 4th quarter
165044172858987000	160465887	negative	Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday, the video scoreboard ... http://bit.ly/ztNRG0�Â�  #Raleigh
264230416897159000	142476472	positive	taylor swift is coming with ed sheeran june 29th? most perf news i've heard all night.
263809311086629000	175523498	positive	The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we're 4th row center. Plenty of room. Pretty fired up
263797084673692000	372303578	objective	@lala_cox There are going to be plenty of ups & downs for Boro,Cardiff,Leicester etc until May.I hope we are still in with a shout for promo
264253780797825000	201148169	neutral	Playing as the Browns HC K. Fri in #Madden13, XFacalac lost to the Ravens 21-28 on All-Madden #ConnectedCareers
256237809147445000	478075690	neutral	The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry
264215390773727000	276151090	objective	Alex Poythress had 11 points and 7 rebounds in his debut with Kentucky during an exhibition game on Thursday. He played 28 minutes.
245461530206933000	222961982	positive	I think I may have a heart attack for Jason Wu's new collection. So Charlotte Rampling in the Night http://pinterest.com/pin/68891069271126578/�Â� �â��¦
263391524769898000	615354091	neutral	If I can get my equipment working correctly we will have a live show on Friday at 6 pm CST with contactee Ray... http://fb.me/1NKnb6ZhU�Â� 
260248287255343000	407729607	positive	Amazing concert tonight with Jim White and the TCU Jazz Ensemble/Faculty Jazz Combo! Don't miss tomorrow night... http://fb.me/25EQZW3B0�Â� 
264150962204193000	470529724	positive	Why would you still wear shorts when it's this cold?! I love how Britain see's a bit of sun and they're like 'OOOH LET'S STRIP!'
256416307182985000	47208627	positive	Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://bit.ly/Q1z5MC�Â� 
259452211883569000	63808899	neutral	JACKALS GOAL! Jimmy Martin sneaks a rebound past Killeen to give Elmira a 2-1 lead. Bushee & Bellamy with the assists.1:09 left 2nd period
263732569508553000	369152026	positive	Kick-off your weekend with service! EV!'s Get on the Bus trip to the Boys & Girls Club is Friday from 3-6! Hope to see you there :)
213342054351258000	189656827	negative	Desperation Day (February 13th) the most well known day in all mens life.
264135339327766000	159343219	objective-OR-neutral	paul-and5homos: Harry and Louis are just fri- Eleanor is such an inspira- Harry is such a manwho- Louis is... http://tmblr.co/ZFia7xWPV8yE�Â� 
263079812954993000	392639346	neutral	#web Apple software, retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday replaced the heads of ...
259022549604790000	204793455	objective	"Blog Post: MTV's ""Teen Mom 2"" Returns for an Intense Third Season with Chelsea, Jenelle, Kailyn and Leah on Monday,... http://dlvr.it/2LLcQV�Â� "
253050608322503000	200261099	objective	The Business Leader's Award ceremony will be held during the @wef annual meeting in Davos on the 25 January 2013! http://www.endhumantraffickingnow.com/?portfolio=business-leaders-award-ceremony-to-be-held-during-the-wefs-upcoming-annual-meeting-in-davos-2�Â� �â��¦
262999273275261000	101319101	positive	@elifyk1 Hi Elif Greetings from USA midwest How is school going? Happy Turkish Republic Day! I can't wait for Nov 8 #NewGlee Yes!
263919760503362000	87970697	positive	Hoping to look FIT tomorrow on the Jeremy Kyle show #ITVFashion
264203403473850000	853146211	objective-OR-neutral	@Jordon_Atkins me you and joe gone chill Saturday of i come tho
256787668367704000	610413207	positive	Grammys concert pays moving tribute to Whitney Houston: Whitney Houston was given a final sendoff by the Grammys on Thursday as Halle...
264187448853152000	314626767	objective	Calling all voters, I'm calling on Nevada,Florida,Ohio,Tuesday night is the night u guys will i repeat will shine for the president lets go!
263865575313383000	410051441	neutral	We tallied up the votes and are announcing the winners for Calling All Communities! Tune in http://uscellular.com/�Â�  on Nov 1st at 11am (CST)
259224351478522000	20050520	objective-OR-neutral	It's Radio 1 Rocks next - week starting off with a Live lounge on @fearnecotton's show with Bullet for my Valentine on Monday
246760239221858000	7532872	positive	Drew Peterson is #Untouchable no more! Check out these movie photos before you watch on Sun at 7/6c: http://bit.ly/QZkoK1�Â� 
264084352340742000	388974334	positive	PUMPED to open the season tomorrow night against Georgetown! Women's Preview: http://bit.ly/QXekV7�Â�  | Men's Preview: http://bit.ly/QXemfI�Â� 
263319006063260000	432174507	objective-OR-neutral	Apple shakeup Mobile software boss eased out: Apple Inc. CEO Tim Cook on Monday pushed out the powerful head of the company&#039;s mo...
263799123847807000	22100843	neutral	"Somehow I managed to ""lose"" my princess leia bra on Saturday. I'm going to Noel Gallagher as ""Glock at Phish"" ie jorts&tank. @custymcnoob"
264183514176553000	316127177	neutral	Android 4.2 Camera app with Photo Sphere now available for Galaxy Nexus: Introduced on Monday, Android 4.2 bring... http://bit.ly/TffDi7�Â� 
262575945741914000	31121565	positive	SAEED: #NowPlaying: BEP, Ricky Martin and KT Tunstall! Great songs to get you through your Sunday! Hate the rain!! http://boltonfm.com/listen-live�Â� 
263730342454772000	423313613	neutral	Are you ready to shop The New Collection from H&M tomorrow?? The Grey Concept from H&M http://www.madaboutthegirl.com/2012/10/the-grey-concept-from-h.html?spref=tw�Â� �â��¦ #fashion #shopping #highstreet
263748118091276000	785067278	objective	FAQ: What is 'skeuomorphic design' and the executive shakeup at Apple: SAN FRANCISCO, CA - MARCH 07: Apple CEO ... http://bit.ly/T89gNo�Â� 
257369508086424000	531994655	positive	Omg. Ricky Martin may be gay but he is one fine ass gay man.
261434845773828000	391892475	negative	"Noel Gallagher: ""Musicians are fucking idiots."" - Yeah, Brian May - he's an idiot... an idiot who just so happens to be a professor?"
252798281413968000	23075654	objective-OR-neutral	Vow is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday. http://bit.ly/V6sjMm�Â� 
264138191030874000	850357831	neutral	@Real_Liam_Payne I wanted you to know that here in Argentina is going to make a directioner fest 10 November te Amo TE AMO te amo!
263864248952836000	609103932	neutral	Its November already.. Christmas will be here soon, then New Year, then Valentine's day then GRADUATION?!?!
263972222677418000	229497776	positive	#NowPlaying Michael Jackson - She's Out of My Life (Live At Wembley July 16. http://mjtunes.com/michael-jackson-radio�Â� �â��¦ L.O.V.E it! #MjTunes
263867263474598000	428841738	negative	Niggas be on the LAKERS DICK...we still gon finish damn near first seed...while yo team be struggling for the 8th spot
262661737994670000	186089082	objective-OR-neutral	I need another Viv necklace... May buy myself one for Valentines day #nojoke
246320271248744000	206354030	positive	"I'm in the bathroom bumping ""Niggas In Paris"" Crunk ass hell like it's my 1st time hearing it this song will never get old lol"
255690502970671000	18712398	objective	Just got tickets to see Muse in Florida. That, combined with the Grammys two weeks prior, equals a really busy February for Ruby and myself.
258695108529119000	64351004	positive	"Welcome Nick J! :"") ""@nickjonas"" In Manila! So excited for the show on Friday."
261632295520334000	217685779	objective	Battle for the 17th banner: Royal Rumble basketball edition
261184553337631000	244570235	positive	4th Album out #RED, #20MillionSwifties, 6 Grammy Awards, 10 AMAs, 13 BMI Awards! Reigning Entertainer of the Year ACM! #6YearsTaylorSwift
226474708487533000	59060233	objective-OR-neutral	Smooches from Fido: Yea or Nay? - July 6th was International Kissing Day (of the human sort). Later in the month, Ca... http://ow.ly/1lwzys�Â� 
247183266782790000	260477688	positive	It's midnight on the east coast which means its @nickjonas birthday! HAPPY 20th BIRTHDAY NICK J!!!!!!!!!! <333
251742524601926000	610495100	negative	Apple CEO apologizes for error-ridden new map app: Apple CEO Tim Cook apologized Friday for the company's error-ridden new mobile map...
261706811453886000	79601816	neutral	Monta Ellis / Ellis provided just five points on 2-of-13 shooting Thursday http://goo.gl/fb/rh1J8�Â�  #nba #playersnews
258989036205662000	25393624	neutral	When I teach a basketball in my own school, we're gonna spend the 1st day watching Larry Bird videos, & the rest will take care of itself.
264084748345963000	747406040	objective-OR-neutral	AT&T offers free cloud storage for iOS and Android AT&T on Thursday announced a new service it calls AT&T Locker th... http://cnet.co/RxB7aa�Â� 
263794433596723000	41680302	positive	We are here @NBCofChicago for our 12th Anniversary celebration. You still have time to make it - 6620 S. King Dr
237571817550787000	727519172	objective-OR-neutral	@KarimAndSugar I told you Shane would get his 5th-star on Rivals before Signing Day. @Taylor_McNeill7
252330752665076000	268248070	positive	Love how I skipped every category of the NTA's besides the soaps. Couldn't give half a fuck if everything else went off the air tomorrow.
262903244886508000	575902991	objective	New York Giants: Game-by-Game Predictions for the 2nd Half of the Season http://dlvr.it/2PF10l�Â� 
264240983032615000	123520382	objective	C'mon c'mon does sound like Queen's we will rock you somehow...
254032799680590000	412603173	positive	My mom just texted me reminding me that Grammys birthdays tomorrow.. HOW COULD I EVER FORGET? #BiggestDayOfTheYear
264143294903247000	331180650	negative	Esperance will be without star player Youssef Msakni for the first leg of the Champions League final against Al Ahly on Saturday. #AFRICA
263247166582174000	45671664	negative	@chrischris__ The Sun: Paolo Di Canio says beating Aston Villa tonight would be like having sex with Madonna. #legend
226238092191875000	141284401	negative	OBVIOUSLY, i am not a fan of Dream High 2 and i haven't even watched it! well, i watched the 1st ep,that's where i heard that song!^^
258887925075411000	37007849	positive	Black History Fact: Marsalis is the 1st and only artist to win both classical and jazz Grammy Awards in one year, and to repeat the next yr
263530816162902000	323297690	positive	Watching David Letterman with no audience but playing like they are still there is the 2nd most brilliant thing I've seen tonight.
246588959247974000	67771614	objective-OR-neutral	Gov. Mitch Daniels will announce his Indiana Supreme Court pick at 10 a.m. Will the 3rd time be the charm for a female member of the panel?
263753326422806000	18013192	objective-OR-neutral	Most common nights to order pizza: NYE, Jan 1, day before Thanksgiving, Super Bowl Sunday, Halloween. http://p-bu.mp/msp-�Â� 
257865075933729000	413586409	positive	The Grey and Yellow Gold Wedding Puzzle is now up with the first piece being a unique two-tone dress by @shopbop! http://piecefulwedding.com/puzzle/31/Monday�Â� �â��¦
262380235985658000	40098249	objective	HARAKAH: Iran army monitoring all ships in Gulf: TEHRAN, Oct 28: A senior commander of the Islamic Revolution Gu... http://bit.ly/VSN8MS�Â� 
263740861031010000	16380085	neutral	HT: Norwich 0-0 #Spurs. We've edged the 1st half without creating any clear cut chances. Bale's had a couple of decent long range efforts.
264226988879933000	26639468	positive	Guys, the Marijuana law in Colorado, Oregon, and Washington can pass this Tuesday. #HighHopes
254600864868749000	59459031	positive	Breezin' won the Best Pop Instrumental Performance at the 19th Grammy Awards
263953741877764000	341470410	neutral	Snow may fall for parts of CNY the next few days. Find out where the best chances will be at 6:42 am on TV & online: http://www.9wsyr.com/content/mediacenter/live/one.aspx�Â� �â��¦
263803288074478000	396953010	neutral	It seem like Austin Rivers is tryin to had to get a bucket. I feel em tho my 1st game in the league I was trying hard too
204001339599106000	160648260	neutral	Cofield draws leadoff walk in top 4th. Zaharion at the plate.
264235642039456000	22111480	positive	@MehDusta I MISS YOU AND I BETTER GET A JUGE KISS AND HUG TOMORROW NIGHT (because you WILL BE at joe's :))
263976883354481000	497155084	objective-OR-neutral	Sat down to watch Michael Jackson this is it on DVD xx
256395784038277000	163198967	objective	On the set of the Axis of the Nigerian Economy, airing every tuesday 8:30pm on NTA international (DSTV) http://lockerz.com/s/252184437�Â� 
261769579544584000	20096243	positive	"Text from my dad: ""you like Charles Dickens"" 1) obvs looking at my amazon wish list (too late for Sunday) 2) why th surprise?!"
264167430564237000	17781471	negative	Upset alert in ACC men's soccer: #1 Maryland down 4-2 to Wake Forest late in the 2nd...AND down a man after an earlier red card.
262627821908816000	28844188	negative	really bored of this host on Super Sunday doing nothing but talk and rave about Man Utd #BiasPrick
258836119532229000	25483231	neutral	I may have missed out seeing Noel Fielding and Rich Fulcher today, but I did just see Tom Tilley! #samsimmons
241225651074527000	39010302	neutral	% of Joe Pa masks at Penn State Sat? Or will PSU by allow then in the stadium? Is it bad to wear it? @Espngreeny
263362769011749000	27020138	positive	Mizzou commemorates its win over Kentucky with a T-shirt. No, really. | Dr. Saturday - Yahoo! Sports http://sports.yahoo.com/blogs/ncaaf-dr-saturday/mizzou-commemorates-win-over-kentucky-t-shirt-no-220237716--ncaaf.html�Â� �â��¦ #fb
251954639119974000	21550315	objective	I have to finish reading Paterno by tomorrow so I can watch football Sunday and Monday and prepare for the #NBA2k13 release #120pagesleft
263704789186118000	38615758	positive	Just watched The Campaign with Will Ferrell and Zack Galafianakis... Good fun for a Wednesday. #Hilarious
262778055402091000	22513829	objective	@sumeetkulkarni Season ends with Superbowl in first week of February.
260949777687118000	32704887	neutral	Crazy I was in a meeting with an old NBA player that was picked 3rd before Larry Bird
245532165637546000	34014706	negative	As an introduction to Literature we wrote about The Woman In Black, not something I particulalry want to read, may just cry #ShitMyself
264215340576285000	82125212	objective-OR-neutral	"I been watching ""All-Access Kentucky"" every wed and it has been making me like these young dudes on Kentucky."
